CodFrota;descricao_especialidade;descricao_especialidadeAgrup;descricao_frota
60808;CAMINHAO - TRANSP. TUBO;CAMINHAO;CAMINHAO MUNCK VOLVO VM 270 RCE-9C39
60809;CAMINHAO - OFICINA;CAMINHAO;CAMINHAO M.BENZ 2729 ONS-1A54
60810;CAMINHAO - OFICINA;CAMINHAO;CAMINHAO VW 11180 SCV-7E62
60811;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 9180 SBG-5G41
60812;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 9180 SBG-0I41
60813;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 9180 SAR-6E81
60814;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 9180 RII-0G62
60815;CAMINHAO - BORRACHARIA;CAMINHAO;CAMINHAO MUNCK VW 13180 OAF-0H08
60816;CAMINHAO - BAU SUPRIMENTOS;CAMINHAO;CAMINHAO VOLVO FH 540 TDG-5B90
60817;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 15190 PCG-8H55
60818;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 15190 GDF-9G83
