ID;Categoria
66093;IMPLEMENTOS AGRICOLAS
66094;IMPLEMENTOS AGRICOLAS
66095;DISTRIB. ADUBO
66096;MOTOSSERRA
66097;MOTOSSERRA
66098;SULCADOR
66099;PULV. IMPLEMENTO
66100;PULV. IMPLEMENTO
66101;PULV. IMPLEMENTO
66102;PULV. IMPLEMENTO
66103;PULV. IMPLEMENTO
66104;TRANSFORMADOR
66105;TRANSFORMADOR
66106;IMPLEMENTOS AGRICOLAS
66107;IMPLEMENTOS AGRICOLAS
66108;CARRETA
66109;CARRETA
66110;CARRETA
66111;MOTOSSERRA
66112;TRATOR CONVENCIONAL
66113;SERRARIA MOVEL
66114;CARRETA
66115;CARRETA
66116;CARRETA
66117;CARRETA
66118;DISTRIB. CANA
66119;DISTRIB. CANA
66121;DISTRIB. CANA
66122;DISTRIB. CANA
66123;DISTRIB. CANA
66125;DISTRIB. CANA
66126;PULV. IMPLEMENTO
66127;PULV. IMPLEMENTO
66128;MOTOSSERRA
66129;MOTOSSERRA
66130;SUBSOLADOR
66131;ROCADEIRA
66132;ROCADEIRA
66133;ROCADEIRA
66134;CARRETA
66135;CARRETA
66136;CARRETA
66137;BETONEIRA
66138;TRANSFORMADOR
66139;TRANSFORMADOR
66140;TRANSFORMADOR
66141;CULTIVADOR
66142;CULTIVADOR
66143;PLANTADORA CANA
66144;PLANTADORA CANA
66145;SOPRADOR COSTAL
66146;CULTIVADOR
66147;TERMONEBULIZADOR
66148;SEPARADOR MAGNETICO
66149;PULV. IMPLEMENTO
66150;PULV. IMPLEMENTO
66151;PULV. IMPLEMENTO
67000;DRONE
67001;DRONE
68001;SETOR - OFICINA (DESPESAS)
68010;UTILITARIO
68012;UTILITARIO
68013;UTILITARIO
68015;SETOR - OFICINA (DESPESAS)
68016;SETOR - OFICINA (DESPESAS)
68017;SETOR - OFICINA (DESPESAS)
68018;SETOR - OFICINA (DESPESAS)
68019;SETOR - OFICINA (DESPESAS)
68021;SETOR - OFICINA (DESPESAS)
68022;SETOR - OFICINA (DESPESAS)
68023;SETOR - OFICINA (DESPESAS)
68024;SETOR - OFICINA (DESPESAS)
68025;SETOR - OFICINA (DESPESAS)
68026;SETOR - OFICINA (DESPESAS)
68027;SETOR - OFICINA (DESPESAS)
68028;SETOR - OFICINA (DESPESAS)
68029;SETOR - OFICINA (DESPESAS)
68030;SETOR - OFICINA (DESPESAS)
68031;SETOR - OFICINA (DESPESAS)
68032;SETOR - OFICINA (DESPESAS)
68033;SETOR - OFICINA (DESPESAS)
68034;SETOR - OFICINA (DESPESAS)
68035;SETOR - OFICINA (DESPESAS)
68037;SETOR - OFICINA (DESPESAS)
68038;SETOR - OFICINA (DESPESAS)
80000;REBOQUE TRANSBORDO
80001;REBOQUE CANAVIEIRO
80002;TRATOR CONVENCIONAL
80003;COLHEDORA
80004;CAMINHAO
62230;TRATOR TRANSBORDO
12232;TRATOR INDUSTRIA
